fid,field_1,Long,Lat,SAMPLE_1
"49","49",-110.3238086,45.9915138,1344733.75
"50","50",-110.3370224,46.02249967,1341953.5
"51","51",-112.626306,40.46034182,1114284
"52","52",-113.0703168,44.14076631,1148410.125
"53","53",-113.0819302,44.15036077,1146987.75
"54","54",-113.0743075,44.14670247,1147809.125
"55","55",-119.9125897,51.4110856,382685.75
"56","56",-109.3959891,43.16265355,1581374.25
"57","57",-109.6645818,43.11095355,1558038.875
"58","58",-109.4940537,43.03795854,1579739.75
"59","59",-109.727354,43.14100082,1549696.125
"60","60",-121.1100805,48.05173019,118327.4609375
"61","61",-121.1439252,48.11125762,115289.1171875
"62","62",-117.5891888,49.78303372,433777.46875
"63","63",-117.6383025,49.79105328,428501.40625
"64","64",-125.751179,49.67471334,34901.65234375
"65","65",-125.747865,49.66552112,35444.0390625
"66","66",-125.7667597,49.65352423,32422.58203125
"67","67",-125.7720595,49.66531964,32738.146484375
"68","68",-110.7815104,43.73961576,1404449.375
"69","69",-110.801551,43.74826689,1401384.375
"70","70",-110.7881437,43.74966572,1403064.5
"71","71",-110.8040785,43.74250031,1401930.125
"72","72",-116.5477219,45.34097754,718618.375
"73","73",-116.5496081,45.32391185,719893.8125
"74","74",-111.6807454,35.34795846,555511.875
"75","75",-111.6778515,35.34551933,555511.875
"76","76",-111.6841076,35.33931672,554076.125
"77","77",-111.6801791,35.34612577,555511.875
"78","78",-113.9188549,39.82865464,957814.8125
"79","79",-113.9204994,39.82872746,957814.8125
"80","80",-113.9197859,39.82715684,956797.3125
"81","81",-113.918945,39.82738365,956797.3125
"82","82",-118.6083163,52.63047591,645850.4375
"83","83",-121.0045374,53.06865377,530990
"84","84",-110.3351471,40.77346217,1310539.375
"85","85",-110.363076,40.8515218,1317043.5
"86","86",-110.2804686,40.83370892,1321271.75
"87","87",-110.4403441,40.83909867,1310674.75
"88","88",-110.3810688,40.71198726,1301035.875
"89","89",-110.3965129,40.76161935,1305348.75
"90","90",-110.4856905,40.78508901,1300537.125
"91","91",-116.8211273,49.24081309,514763.46875
"92","92",-116.8234486,49.24148323,514763.46875
"93","93",-116.814912,49.23563382,515765.75
"94","94",-126.9392262,51.96031258,23238.765625
"95","95",-126.9275295,52.05430688,11048.029296875
"96","96",-126.9970812,52.0674115,15865.310546875
"97","97",-121.5029909,40.48753287,278736.84375
"98","98",-121.5047035,40.49919687,279158.90625
"99","99",-121.489724,40.49936957,280899.09375
"100","100",-121.5050273,40.48811298,278736.84375
"101","101",-121.5097819,40.48288353,277447.5625
"102","102",-121.5088699,40.48736839,277866
"103","103",-98.03263212,19.23436361,183573.0625
"104","104",-98.02930117,19.23498342,183573.0625
"105","105",-98.03320289,19.23227675,183573.0625
"106","106",-98.03236458,19.2289681,183573.0625
"107","107",-98.0282845,19.22801385,183573.0625
"108","108",-98.03442022,19.22967709,184291.828125
"109","109",-98.03344814,19.23163018,184291.828125
"110","110",-113.9176266,47.3968585,901510.5625
"111","111",-113.9050193,47.39085246,903742.5625
"112","112",-113.9210958,47.35737249,904079.4375
"113","113",-113.9360745,47.38319544,900812.875
"114","114",-125.8926274,52.01155916,87341.8203125
